address;source_location;insn;indent
0x404050;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;MOV	(%RSI),%EAX;
0x404052;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;MOV	0xb6b5f(%RIP),%RCX;
0x404059;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;MOV	%EAX,%EDX;
0x40405b;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;MOV	%EAX,%R8D;
0x40405e;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;SAR	$0x6,%EDX;
0x404061;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;AND	$0x3f,%R8D;
0x404065;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;MOVSXD	%EDX,%RDX;
0x404068;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;LEA	(%RCX,%RDX,8),%RCX;
0x40406c;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;MOV	(%RCX),%RDX;
0x40406f;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;BT	%RAX,%RDX;
0x404073;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:54;JB	4040b9 <visithndl+0x69>;
0x404075;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:55;BTS	%R8,%RDX;
0x404079;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;MOVSXD	%EDI,%RDI;
0x40407c;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:55;MOV	%RDX,(%RCX);
0x40407f;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:56;MOVSXD	0xb6b12(%RIP),%RDX;
0x404086;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:56;LEA	0x1(%RDX),%ECX;
0x404089;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:56;MOV	%ECX,0xb6b09(%RIP);
0x40408f;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:56;MOV	0xb6aea(%RIP),%RCX;
0x404096;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:56;MOV	%EAX,(%RCX,%RDX,4);
0x404099;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;MOV	0xb6bb9(%RIP),%EDX;
0x40409f;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;MOVSXD	0x4(%RSI),%RAX;
0x4040a3;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;MOVSXD	(%RSI),%RCX;
0x4040a6;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;SHLX	%RDX,%RAX,%RAX;
0x4040ab;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;MOV	0xb6afe(%RIP),%RDX;
0x4040b2;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;ADD	%RDI,%RAX;
0x4040b5;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:57;MOV	%RAX,(%RDX,%RCX,8);
0x4040b9;/home/hananefdh/MPNA/graph500/src/bfs_reference.c:59;RET;
0x4040ba;:0;NOPW	(%RAX,%RAX,1);
